,,,0
0,0,n,1308.5208333333333
0,2,n,1112.2648380915418
0,4,n,984.1585572922277
0,6,n,858.3610558915576
0,8,n,510.26625480518214
1,0,n,184.4373887608373
1,2,n,116.64910704703304
1,4,n,106.34707547310363
1,6,n,96.017644840182
1,8,n,97.36119368284385
2,0,n,118.08794121482863
2,2,n,106.9909112287669
2,4,n,103.40459382265946
2,6,n,98.77897551112648
2,8,n,97.65372657844625
3,0,n,112.10239374097465
3,2,n,114.01083380466459
3,4,n,104.14865298922881
3,6,n,94.81762075470321
3,8,n,93.63799065145906
4,0,n,122.06117542572706
4,2,n,185.16015870285187
4,4,n,106.73938215744856
4,6,n,94.7370641864942
4,8,n,93.64419409476488
5,0,n,131.70835478301925
5,2,n,110.86738835088467
5,4,n,97.82432165157961
5,6,n,93.64441534606357
5,8,n,100.53668102727401
6,0,n,127.31770192764297
6,2,n,121.95903723393837
6,4,n,100.72795174698616
6,6,n,107.1664254633376
6,8,n,106.6947212699386
7,0,n,120.60414370247445
7,2,n,122.68482086052131
7,4,n,118.03659449063419
7,6,n,154.98169221171315
7,8,n,169.60014883583233
8,0,n,121.2853840904778
8,2,n,122.42163487585407
8,4,n,119.53249594735314
8,6,n,184.78801441931498
8,8,n,112.16166682722921
9,0,n,123.75312725013089
9,2,n,121.91756449665273
9,4,n,135.02576799906296
9,6,n,162.17572328068476
9,8,n,103.81312078782936
0,0,c,178.45655356220027
0,2,c,129.70175393813213
0,4,c,101.4151600411396
0,6,c,67.27660753292999
0,8,c,59.43719797160764
1,0,c,75.4321138722647
1,2,c,71.08821308903569
1,4,c,64.02201304232541
1,6,c,57.41661752828119
1,8,c,57.898564039596955
2,0,c,70.9130521318144
2,2,c,83.13771431154379
2,4,c,86.70128218279426
2,6,c,59.97409063269177
2,8,c,56.713866247409534
3,0,c,70.34354706378646
3,2,c,91.32402719414752
3,4,c,99.1806268938682
3,6,c,58.36105173857595
3,8,c,61.24461043684577
4,0,c,71.44096192048961
